# 実例語彙チェッカーの裁定保全ファイル（語<TAB>理由）
# 機械は検出、人間が裁定、裁定はここに機械可読に保全（第3周-0、CEFRカタログ4）
oh	CEFR-J未収録の間投詞。A1級の定型応答（Oh, I'm sorry / Oh really?）に必須
goodbye	CEFR-J未収録（bye は A1 収録）。別れの基本定型
congratulations	CEFR-J未収録の祝意定型。書面 Pre-A1〜A2 の中核 exponent
congrats	CEFR-J未収録。congratulations の短縮形（書面カジュアル）
ah	CEFR-J未収録の間投詞（oh同族）。応答の受けの定型
hmm	CEFR-J未収録の間投詞。保留・思案の合図（512の受け在庫）
wow	CEFR-J未収録の間投詞。驚きの反応定型（681のSNS受け在庫）
keynote	CEFR-J未収録の会議場面名詞。B2+行（427）の実例の場面語として保持（第3周-5、CEFRカタログ5）
understand	明確化・繰り返しの要求A1行（747/748）の行為核＝非理解の表明が要求する正準定型 I don't understand. の中核語。教室定型として遍在しCEFR-J A2判定と乖離（第3周-5第二陣裁定）
framework	CEFR-J・Octanove未収録の学術・業務談話の基本語。C1行（668）の明確化対象として適正（第3周-5第二陣裁定）
ken	固有名詞（人名）。612/508/705の実例の登場人物名（第3周-5第三陣裁定）
sato	固有名詞（姓）。実例の署名・名乗り（第3周-5第三陣裁定）
sakura	固有名詞（通り名）。705のフォーム記入例の住所（第3周-5第三陣裁定）
japan	固有名詞（国名）。687のプロフィール国籍欄ほか（第3周-5第三陣裁定）
k-e-n	綴りの読み上げ表記（599の名前スペルアウト）。語ではなく音綴の列（第3周-5第三陣裁定）
bigger	big(A1)の比較級。規則レンマ化が子音重複+erに未対応（moving/planning同族のツール側欠落。CEFRカタログ7）
survivable	survive(B1)+-ableの規則派生。C1行(No.235)の正当な生産的派生（keynote同様の未収録裁定。CEFRカタログ7）
tom	固有名詞（人名）。346の想像上の猫の名（CEFRカタログ8裁定）
mia	固有名詞（人名）。343の想像上の伝記の主人公名（CEFRカタログ8裁定）
chekhov	固有名詞（作家名）。329の批評対象の文学作品の作者（CEFRカタログ8裁定）
born	bear の過去分詞だが定型 was born は A1〜A2 教科書定番（343の伝記行）。レンマ化が bear に届かないツール側欠落（became 同族。CEFRカタログ8裁定）
became	become(A2) の不規則過去形。ツールの不規則表欠落（bigger 同族。CEFRカタログ8裁定）
cookbook	cook(A1)+book(A1) の透明な複合語。B2行(No.331)の場面名詞として適正（CEFRカタログ8裁定）
imperfect	perfect(A2)+im- の規則的否定派生。B2行(No.332)のレビュー評価語として適正（survivable 同族。CEFRカタログ8裁定）
unfixable	un-+fix(A2)+-able の規則派生。C2行(No.325)の正当な生産的派生（survivable 同族。CEFRカタログ8裁定）
